,Unnamed: 0,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
15068,15068,169,30,335,1,0,0,1,0,0,1,0,0,0
2511,2511,169,2,357,40,0,0,1,0,0,0,0,1,0
48776,48776,169,1,347,3,0,0,1,0,0,0,0,1,0
6918,6918,169,3,27,85,0,0,1,0,0,1,0,0,0
18601,18601,169,4,0,87,0,1,0,0,0,1,0,0,0
4920,4920,169,7,0,0,0,0,1,0,0,1,0,0,0
309,309,169,3,321,258,0,0,1,0,0,1,0,0,0
44405,44405,169,30,142,0,0,0,1,0,0,1,0,0,0
10819,10819,169,2,350,36,0,1,0,0,0,1,0,0,0
38092,38092,169,4,0,2,0,0,1,0,0,1,0,0,0
15839,15839,169,5,186,12,0,0,1,0,0,1,0,0,0
39034,39034,169,3,0,29,0,1,0,0,0,0,0,1,0
11300,11300,170,3,0,11,0,0,1,0,0,1,0,0,0
47543,47543,170,2,155,5,1,0,0,0,0,1,0,0,0
26559,26559,170,1,0,12,0,0,1,0,0,1,0,0,0
24845,24845,170,2,44,62,0,0,1,0,0,1,0,0,0
17303,17303,170,1,340,160,0,0,1,0,0,1,0,0,0
17182,17182,170,3,0,12,0,0,1,0,0,1,0,0,0
49158,49158,170,4,80,0,0,1,0,0,0,1,0,0,0
17213,17213,170,4,0,0,0,0,1,0,0,1,0,0,0
11294,11294,170,2,173,147,0,1,0,0,0,1,0,0,0
24926,24926,170,30,313,0,0,0,1,0,0,1,0,0,0
17145,17145,170,3,12,105,0,1,0,0,0,1,0,0,0
41128,41128,170,4,0,3,0,0,1,0,0,1,0,0,0
7365,7365,170,5,0,2,0,0,1,0,0,1,0,0,0
37472,37472,170,2,73,45,0,1,0,0,0,1,0,0,0
24138,24138,170,8,165,14,0,0,0,1,0,1,0,0,0
37868,37868,170,1,2,7,0,0,1,0,0,1,0,0,0
24230,24230,170,28,279,144,0,0,1,0,0,1,0,0,0
42932,42932,170,27,157,0,0,0,1,0,0,1,0,0,0
25056,25056,170,4,344,45,0,1,0,0,0,1,0,0,0
13667,13667,170,30,347,3,0,0,1,0,0,1,0,0,0
37993,37993,170,1,0,1,0,0,0,1,0,1,0,0,0
26288,26288,170,3,20,2,0,1,0,0,0,1,0,0,0
37455,37455,170,1,0,84,0,0,1,0,0,1,0,0,0
2640,2640,170,4,0,14,0,0,1,0,0,1,0,0,0
24451,24451,170,2,229,119,0,1,0,0,0,1,0,0,0
7380,7380,170,10,0,2,0,1,0,0,0,1,0,0,0
25330,25330,170,3,0,8,0,0,1,0,0,1,0,0,0
17348,17348,170,3,0,138,0,1,0,0,0,1,0,0,0
24654,24654,170,3,0,44,0,0,1,0,0,1,0,0,0
2560,2560,170,3,1,150,0,1,0,0,0,1,0,0,0
4885,4885,170,1,203,25,0,0,1,0,0,0,0,1,0
4871,4871,170,3,0,124,0,0,0,1,0,1,0,0,0
37935,37935,170,2,0,1,0,0,1,0,0,1,0,0,0
37347,37347,170,2,0,0,0,0,1,0,0,1,0,0,0
25020,25020,170,2,4,31,0,0,1,0,0,1,0,0,0
11154,11154,170,1,0,157,0,0,1,0,0,1,0,0,0
41084,41084,170,3,108,30,0,0,1,0,0,1,0,0,0
46128,46128,170,2,0,2,0,1,0,0,0,1,0,0,0
17292,17292,170,30,166,113,0,0,1,0,0,1,0,0,0
7438,7438,170,5,158,28,0,0,1,0,0,1,0,0,0
26249,26249,170,3,86,22,0,1,0,0,0,1,0,0,0
42933,42933,170,2,0,4,0,0,1,0,0,1,0,0,0
25943,25943,170,3,0,29,0,0,1,0,0,1,0,0,0
26409,26409,170,1,0,1,0,0,1,0,0,1,0,0,0
2846,2846,170,3,1,64,0,1,0,0,0,1,0,0,0
25732,25732,170,2,0,9,0,1,0,0,0,1,0,0,0
25228,25228,170,3,0,34,0,0,1,0,0,1,0,0,0
4935,4935,170,2,356,3,0,0,1,0,0,1,0,0,0
46723,46723,170,3,13,1,0,0,0,1,0,1,0,0,0
25790,25790,170,1,0,3,0,0,1,0,0,0,0,1,0
17665,17665,170,2,68,8,0,0,1,0,0,1,0,0,0
41087,41087,170,1,228,24,0,1,0,0,0,1,0,0,0
48894,48894,170,2,342,0,0,0,0,1,0,1,0,0,0
41200,41200,170,3,13,5,0,0,1,0,0,1,0,0,0
37710,37710,170,2,0,26,0,1,0,0,0,1,0,0,0
13703,13703,170,2,0,12,0,1,0,0,0,1,0,0,0
17479,17479,170,30,0,17,0,1,0,0,0,1,0,0,0
34667,34667,170,5,143,13,0,0,1,0,0,1,0,0,0
4347,4347,170,4,0,14,0,0,1,0,0,1,0,0,0
5779,5779,170,2,274,92,0,0,0,1,0,1,0,0,0
3298,3298,170,3,340,142,0,1,0,0,0,1,0,0,0
9705,9705,170,13,0,6,0,1,0,0,0,1,0,0,0
32090,32090,170,2,0,11,0,0,0,1,0,1,0,0,0
1177,1177,170,1,13,63,0,0,1,0,0,1,0,0,0
40255,40255,170,30,231,3,0,0,1,0,0,1,0,0,0
453,453,170,5,67,45,0,0,1,0,0,1,0,0,0
22870,22870,170,2,323,74,0,0,0,1,0,1,0,0,0
39841,39841,170,8,0,8,0,1,0,0,0,1,0,0,0
47133,47133,170,2,296,4,0,0,1,0,0,0,0,1,0
47880,47880,170,30,177,0,0,1,0,0,0,1,0,0,0
7691,7691,170,5,0,0,0,0,1,0,0,0,0,1,0
34336,34336,170,8,2,1,0,0,1,0,0,0,0,1,0
18409,18409,170,2,229,172,0,1,0,0,0,1,0,0,0
14131,14131,170,3,0,27,0,1,0,0,0,1,0,0,0
28951,28951,170,3,0,3,0,0,1,0,0,1,0,0,0
8878,8878,170,2,0,5,0,0,1,0,0,1,0,0,0
34141,34141,170,7,185,1,0,0,1,0,0,1,0,0,0
5546,5546,170,3,0,15,0,0,1,0,0,1,0,0,0
15873,15873,170,4,0,9,0,0,1,0,0,1,0,0,0
42708,42708,170,1,0,9,0,0,1,0,0,1,0,0,0
