,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17090,17090,14312497,Upper East Side Studio Apartment,38681372,Nicole,Manhattan,Upper East Side,40.76644,-73.95635,Entire home/apt,99,5,15,2017-05-01,0.39,1,0
12721,12721,10142056,Authentic studio-UES (30 days MIN),23772724,The Local Stay,Manhattan,Upper East Side,40.77349,-73.95225,Entire home/apt,99,30,8,2019-08-15,0.18,27,280
4154,4154,3059273,1 bedroom  in  Nolita/Soho,15569250,SoSo,Manhattan,Nolita,40.72118,-73.99682,Private room,99,2,14,2019-11-30,0.39,1,334
1050,1050,476571,2RE - CARRIAGE HOUSE STUDIO OFF CTYD,2027013,Adam,Manhattan,East Village,40.72955,-73.98298,Entire home/apt,99,30,65,2019-10-13,0.73,6,3
28966,28976,24372429,2BR Apt. w/ Outdoor HOT TUB in Trendy Bushwick,10197436,Chris,Brooklyn,Bushwick,40.68652,-73.91212,Entire home/apt,99,2,91,2019-12-01,4.6,1,294
33141,33151,28784880,*PRIVATE* Loft 5 minutes away from LaGuardia,65671256,Freddy,Queens,Jackson Heights,40.75703,-73.85826999999998,Entire home/apt,99,1,110,2019-11-17,7.62,4,165
36647,36657,31388263,Sunny Quiet bedroom with River views near the UN,234539932,Sally,Manhattan,Kips Bay,40.73752,-73.97446,Private room,99,5,0,,,2,6
7424,7424,6087959,2000sq $2 million 3 story townhouse,28023382,Edwin,Brooklyn,Gowanus,40.68383,-73.98869,Entire home/apt,99,1,200,2019-11-16,3.71,1,298
6609,6609,5094593,Cozy room in a quite neighborhood,7801481,Inez,Queens,Bay Terrace,40.78598,-73.77915,Private room,99,3,4,2018-05-04,0.08,2,0
40811,40821,35058541,"Clean, Cozy, & Private One  Bedroom  Apartment",264088176,Cecilia,Bronx,Throgs Neck,40.81869,-73.82233000000002,Entire home/apt,99,1,33,2019-12-04,5.47,1,154
6605,6605,5085803,Beautiful Studio in the Upper East (30 DAYS MIN),23772724,The Local Stay,Manhattan,Upper East Side,40.78151,-73.94775,Entire home/apt,99,30,12,2019-04-27,0.26,27,313
30492,30502,26134096,"LGA cozy apt, Close to Astoria, Manhattan, JFK",156948703,Asad,Queens,East Elmhurst,40.76956,-73.87347,Entire home/apt,99,1,134,2019-11-30,7.53,6,308
33107,33117,28740981,"Chic, light-filled Sugar Hill 1 bedroom",2225836,Jennifer,Manhattan,Harlem,40.82608,-73.94230999999998,Entire home/apt,99,2,18,2019-11-11,1.31,1,0
43348,43358,36973823,Private room in east village,269263032,Fanny,Manhattan,East Village,40.72865,-73.98054,Private room,99,1,2,2019-08-04,0.46,1,127
33187,33197,28843808,Luxury Townhome in the heart of Brooklyn,23542079,Teres,Brooklyn,East Flatbush,40.64565,-73.93164,Entire home/apt,99,5,1,2018-11-26,0.08,2,0
18828,18828,16161888,Chill 2BD in Brooklyn,105489342,Josephine,Brooklyn,Brownsville,40.66041,-73.91561999999998,Entire home/apt,99,2,82,2019-11-03,2.27,1,76
6479,6479,4958223,Beautiful Central Park View,25517905,Andreias,Manhattan,Upper West Side,40.7962,-73.96155999999998,Private room,99,1,310,2019-12-01,5.54,3,1
36130,36140,30980752,Sunny home w/ beautiful views,41511227,Joe,Brooklyn,Gowanus,40.66744,-73.99254,Entire home/apt,99,2,1,2019-01-21,0.09,1,0
23492,23493,20230482,Mishay's Hut,144138036,Mishay,Queens,St. Albans,40.69167,-73.75495,Entire home/apt,99,2,68,2019-11-16,2.42,1,328
39439,39449,34058607,Cozy apartment at heart of Brooklyn,11256721,Zeynep,Brooklyn,East Flatbush,40.64939,-73.94864,Entire home/apt,99,4,2,2019-09-13,0.65,1,0
24380,24388,20946154,Prime location.near all 20 mins to manhattan.apt1B,59974573,Taka,Queens,Elmhurst,40.73742,-73.87026999999998,Entire home/apt,99,4,5,2017-11-13,0.19,2,55
33078,33088,28721018,Brooklyn Sunny room 5 min to subway,174261493,Sophie & Max,Brooklyn,Sheepshead Bay,40.61051,-73.95508000000002,Private room,99,2,10,2019-06-02,0.69,2,0
17122,17122,14341397,One bedroom apartment,87835557,Kostas,Queens,Astoria,40.76623,-73.90911,Entire home/apt,99,2,173,2019-11-12,4.31,1,275
19429,19429,16490903,Spacious room within minutes to A express train!,10896884,Gaurav,Manhattan,Washington Heights,40.84798,-73.94091999999998,Private room,99,2,0,,,1,0
49910,49926,40328773,A Private Apartment (entire place),238825603,George,Bronx,Longwood,40.81564,-73.91164,Entire home/apt,99,5,0,,,2,342
43324,43334,36947683,GREAT LOCATION NEWLY RENOVATED MODERN W/PARKING,114219274,Safa,Brooklyn,Fort Hamilton,40.62044,-74.03027,Entire home/apt,99,1,11,2019-11-15,2.43,2,303
6502,6502,4982699,Two Bedroom Apartment,25686141,Linden,Queens,Ozone Park,40.67924,-73.84770999999998,Entire home/apt,99,3,66,2018-07-21,1.18,1,0
862,862,341982,"Lincoln Center Studio, Clean&Sunny!",483013,Yj,Manhattan,Upper West Side,40.77577,-73.98258,Entire home/apt,99,2,36,2015-08-23,0.43,1,0
43327,43337,36955430,"Studio in a quite,clean Middle of manhattan",166368558,Gregory,Manhattan,Upper West Side,40.78617,-73.97484,Entire home/apt,99,28,0,,,1,338
37120,37130,31929849,Your own entire private place in BROOKLYN NY :),7958766,Sammy,Brooklyn,Bath Beach,40.59988,-74.00415,Entire home/apt,99,2,26,2019-11-03,2.76,1,0
43334,43344,36963544,Kozy Queens Korner,97366994,Jacqueline,Queens,Springfield Gardens,40.68392,-73.75179,Entire home/apt,99,3,15,2019-11-25,3.49,1,152
30467,30477,26108336,Large Room Near Times Square-Hudson Yards! - 31C2,190921808,John,Manhattan,Hell's Kitchen,40.75587,-73.99724,Private room,99,1,13,2019-11-11,0.9,48,348
30515,30525,26157329,Large studio apt w/ private deck. Close to RUMC.,102263916,John,Staten Island,Tompkinsville,40.63111,-74.09000999999998,Entire home/apt,99,1,67,2019-12-05,4.89,2,14
33844,33854,29461552,Chic Upper West Side Suite,210634970,Sheila,Manhattan,Washington Heights,40.83513,-73.94738000000002,Private room,99,2,27,2019-11-17,2.0,1,0
41565,41575,35603341,Cozy studio in the UES (30 days min),159598333,Sol,Manhattan,Upper East Side,40.78166,-73.94593,Entire home/apt,99,30,0,,,9,265
20720,20720,17975818,Beautiful large private room in the heart of Soho,11259589,Eloise,Manhattan,Chinatown,40.71889,-73.99604000000002,Private room,99,3,3,2017-06-28,0.09,1,0
